detail_code_or_segment,official_name,scope_type,collect_track,review_status,enabled,rationale,reviewed_at
4218158601,혈중수소이온농도측정기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4218159901,유전자증폭장치및자동분석시약류,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4219909501,냉동혈액처리장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4219909801,혈액냉동고,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4219909901,혈액냉장고,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4229422001,자동혈액성분분리장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4298010103,검사용체외진단지표디지털의료기기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4298010303,진단용체외진단지표디지털의료기기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4298010503,임상적관리유도용체외진단지표디지털의료기기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4298010703,의약품보조용동반진단디지털의료기기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,REVIEW_REQUIRED,False,ambiguous_lab_or_mixed_scope,2026-09-11
4299010101,범용상온원심분리장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299010201,세포용원심분리장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299010301,세포용온도조절식원심분리장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299020101,표본가공장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299020201,조직검사용자동염색장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299020301,혈액검체처리기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299030101,세포및조직배양기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299030201,미생물배양기,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299040101,의료용플로방식임상화학자동분석장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299040201,의료용분리방식임상화학자동분석장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299040301,의료용원심방식임상화학자동분석장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299040401,의료용건식임상화학자동분석장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299040501,의료용팩식임상화학자동분석장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299040601,의료용형광분광장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299040701,의료용광도장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299040801,의료용분광광도장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299040901,의료용염광광도장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299041001,단백질용전기영동검사장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
4299041101,의료용가스액체크로마토그래피검사장치,DETAIL_CODE,MEDICAL_DIAGNOSTICS,COLLECT_ENABLED,True,clear_domain01_equipment,2026-09-11
